,Unnamed: 0,Longitude,Latitude,Soil Mapping Unit,Continent,Country,Region Lv1,Grape_Variety,SHARE_x,WRB4_x,KOPPEN,TEXTURE_USDA_x,REF_BULK_DENSITY,BULK_DENSITY,DRAINAGE_x,ROOT_DEPTH_x,AWC_x,ROOTS_x,IL_x,HWSD2_SMU_ID_y,SEQUENCE,SHARE_y,WRB4_y,ROOT_DEPTH_y,ROOTS_y,IL_y,SWR,DRAINAGE_y,AWC_y,COARSE,SAND,SILT,CLAY,TEXTURE_USDA_y,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND,Top12_Grape
0,0,-63.35833333,-40.76666667,12245,Americas,Argentina,Río Negro Province,malbec,60,FLeu,B,11,1.69,1.5,MW,1,142,,,12245,1,60,FLeu,1,,,,MW,142,3,55,27,18,11,M,1.5,1.69,0.78,7.5,0.93,9,14,63,22,22,94,0,4,2,0.7,2,1
1,1,-63.35833333,-40.775,12245,Americas,Argentina,Río Negro Province,malbec,60,FLeu,B,11,1.69,1.5,MW,1,142,,,12245,1,60,FLeu,1,,,,MW,142,3,55,27,18,11,M,1.5,1.69,0.78,7.5,0.93,9,14,63,22,22,94,0,4,2,0.7,2,1
2,2,-67.64166667,-39.06666667,12325,Americas,Argentina,Río Negro Province,malbec,50,RGeu,B,11,1.61,1.45,MW,1,106,,,12325,1,50,RGeu,1,,,,MW,106,18,66,20,14,11,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4,1,1
3,3,-67.64166667,-39.075,12325,Americas,Argentina,Río Negro Province,malbec,50,RGeu,B,11,1.61,1.45,MW,1,106,,,12325,1,50,RGeu,1,,,,MW,106,18,66,20,14,11,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4,1,1
4,4,-67.33333333,-39.03333333,12325,Americas,Argentina,Río Negro Province,malbec,50,RGeu,B,11,1.61,1.45,MW,1,106,,,12325,1,50,RGeu,1,,,,MW,106,18,66,20,14,11,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4,1,1
5,5,-67.33333333,-39.03333333,12325,Americas,Argentina,Río Negro Province,cabernet sauvignon,50,RGeu,B,11,1.61,1.45,MW,1,106,,,12325,1,50,RGeu,1,,,,MW,106,18,66,20,14,11,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4,1,1
6,6,-67.33333333,-39.03333333,12325,Americas,Argentina,Río Negro Province,malbec,50,RGeu,B,11,1.61,1.45,MW,1,106,,,12325,1,50,RGeu,1,,,,MW,106,18,66,20,14,11,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4,1,1
7,7,-67.33333333,-39.03333333,12325,Americas,Argentina,Río Negro Province,pinot noir,50,RGeu,B,11,1.61,1.45,MW,1,106,,,12325,1,50,RGeu,1,,,,MW,106,18,66,20,14,11,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4,1,1
8,8,-67.33333333,-39.03333333,12325,Americas,Argentina,Río Negro Province,pinot noir,50,RGeu,B,11,1.61,1.45,MW,1,106,,,12325,1,50,RGeu,1,,,,MW,106,18,66,20,14,11,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4,1,1
9,9,-68.25833333,-38.6,12325,Americas,Argentina,Río Negro Province,bastardo,50,RGeu,B,11,1.61,1.45,MW,1,106,,,12325,1,50,RGeu,1,,,,MW,106,18,66,20,14,11,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4,1,0
